,Film,Song,Raga
311,Parakh,"O Sajna, Barakha Bahara Ayi",khammaaj
312,Guide,Piya Tose Naina Lage Re,khammaaj
313,Miss Mary,Sakhi Re Suun Bole Papiha,khammaaj
314,Pushpanjali ,Sham Dhale Jamuna Kinare,khammaaj
315,Aarti,Tere Bina Sajna Lage Na Jiya Hamar,khammaaj
316,(non-film song),Vaishnav Jan To,khammaaj
317,Devdaas,Vo Na Ayenge Palatkar,khammaaj
318,Golmaal,"Anewala Pal, Janewala Hai",Kirvani
319,Phir Wohi Dil Laaya Hoon,Ankhon Se Jo Utari,Kirvani
320,(non-film song),Be-Sabab Baat Badhaneki Zaroorat Kya Hai,Kirvani
321,Door Ka Raahi,"Beqaraar Dil, Tu Gaye Jaa",Kirvani
322,(non-film song),"E Husn-E-Beparvah Tujhe Shabnam Kahun, Shola Kahun",Kirvani
323,Ram Teri Ganga Maili,Ek Radha Ek Meera,Kirvani
324,Laal Pathhar,Geet Gata Hun Main Gunagunata Hun Main,Kirvani
325,Love Marriage,Kahe Jhum Jhum Raat Ye Suhani,Kirvani
326,Swami,Kya Karun Sajani (a.k.a. Ka Karoon Sajani),Kirwani
327,Ek Musafir Ek Hasina,Main Pyar Ka Rahi Hun,Kirvani
328,Nagin (Old) ,Mera Dil Yeh Pukare Aaja,Kirvani
329,Anamika,Meri Bhigi-Bhigi Si Palakon Pe Rah Gaye,Kirvani
330,Post Box No. 999,Neend Na Mujhko Aye,Kirvani
331,(non-film song),Para Para Hua Pairahan-E-Jaan,Kirvani
332,Mere Sanam,Pukarta Chala Hun Main,Kirvani
333,(non-film song),Shola Tha Jal Bujha Hun,Kirvani
334,Anwar,Tose Naina Lage (a.k.a. Javeda Zindagi),Kirvani
335,Pyase Panchhi,Tumhi Mere Mit Ho,Kirvani
336,Dil Ek Mandir,"Yad Na Jaye, Bite Dinon",Kirvani
337,Chori Chori,Ye Raat Bheegi Bheegi,Kirvani
338,Delhi Ka Thug,Ye Raten Ye Mausam Nadi Ka Kinara,Kirvani
